sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
1318,KAKATIYAKHANI OPENCAST III PROJECT PHASE-1,SCCL,N06000161,,,,3-2017,3/2022,N.A.,413.84,N.A.,397.54,85.00,2025-06,FR_JUNE_2025.pdf
1319,GODAVARIKHANI COAL MINE,SCCL,N06000202,,,,7-2019,3/2023,N.A.,438.98,N.A.,178.21,70.00,2025-06,FR_JUNE_2025.pdf
1320,VENKATESH KHANI COAL MINE,SCCL,N06000204,,,,10-2020,3/2023,N.A.,484.51,N.A.,318.12,55.00,2025-06,FR_JUNE_2025.pdf
1321,RCE OF RAMAGUNDAM OPENCAST II EXTENSION PROJECT,SCCL,N06000210,,,,11-2015,3/2023,N.A.,489.62,N.A.,405.54,70.00,2025-06,FR_JUNE_2025.pdf
1322,RCE OF INDARAM OPENCAST PROJECT,SCCL,N06000211,,,,8-2017,3/2021,N.A.,349.28,N.A.,402.64,80.00,2025-06,FR_JUNE_2025.pdf
1323,RCE OF KALYANIKHANI OPENCAST PROJECT,SCCL,N06000213,,,,3-2016,3/2020,N.A.,384.32,N.A.,265.53,75.00,2025-06,FR_JUNE_2025.pdf
1324,RCE OF KAKATHIYAKHANI OC - 2 PROJECT,SCCL,N06000214,,,,8-2017,3/2020,N.A.,442.42,N.A.,203.14,63.00,2025-06,FR_JUNE_2025.pdf
1325,GOLETI OPENCAST MINE,SCCL,N06000258,,,,7-2021,3/2026,N.A.,345.60,N.A.,72.09,20.00,2025-06,FR_JUNE_2025.pdf
1326,ESTABLISHMENT OF NATIONAL ANIMAL RESOURCE FACILITY FOR BIOMEDICAL RESEARCH AT HYDERABAD,CPWD FOR HEALTH,N28000098,,,,10-2016,3/2020,Jan-2025,209.84,281.05,253.64,98.50,2025-06,FR_JUNE_2025.pdf
1327,"COMPREHENSIVE PLANNING, DESIGNING, EXECUTION OF ALL INDIA INSTITUTE OF MEDICAL SCIENCES AT BIBINAGAR",HITES,N21000031,,,,12-2018,7/2024,N.A.,1110.55,N.A.,753.76,83.07,2025-06,FR_JUNE_2025.pdf
1328,MANOHARABAD-KOTHPALL NEW LINE(SCR),SCR,N22000032,,,,4-2006,3/2027,N.A.,1160.00,N.A.,1568.57,,2025-06,FR_JUNE_2025.pdf
1329,KHAMMAM-DEVARAPALLE PKG I [4L ACCESS CONTROLLED (GREENFIELD) FROM THALLAMPADU VILLAGE TO SOMAVARAM,NHAI,N24001482,,,,8-2022,10/2024,Aug-2022,772.11,N.A.,558.24,80.51,2025-06,FR_JUNE_2025.pdf
1330,KHAMMAM DEVARAPALLE PKG II 4L ACCESS CONTROLLED (GREENFIELD) FROM SOMAVARAM VILLAGE TO CHINTAGUDEM V,NHAI,N24001483,,,,2-2022,9/2024,Feb-2022,637.11,N.A.,415.98,85.40,2025-06,FR_JUNE_2025.pdf
1331,KHAMMAM-DEVARAPALLE PKG III [4L ACCESS CONTROLLED (GREENFIELD) FROM CHINTAGUDEM VILLAGE TO RECHERLA,NHAI,N24001484,,,,9-2022,2/2024,Sep-2022,804.69,N.A.,514.29,91.20,2025-06,FR_JUNE_2025.pdf
1332,4L OF KODAD (DESIGN KM 0.00/EXISTING KM 185.00 OF NH-65) TO KHAMMAM (DESIGN KM 31.800/EXISTING KM 29,NHAI,N24001522,,,,1-2021,1/2024,Jan-2021,1307.95,N.A.,727.42,99.98,2025-06,FR_JUNE_2025.pdf
1333,"6 LANING OF EXISTING 4-LANE STRETCH FROM KALKALLU AT KM.454+000 TO GUNDLA POCHAMPALLY AT KM.471+000,",NHAI,N24001555,,,,3-2022,1/2025,N.A.,955.49,N.A.,233.46,35.96,2025-06,FR_JUNE_2025.pdf
1334,6L OF EXISTING 4L FROM GUNDLAPOCHAMPALLY TO BOWENPALLY FROM KM 471.300 TO KM 481.331 OF NH-44,NHAI,N24001556,,,,12-2021,7/2024,N.A.,521.53,N.A.,250.70,49.63,2025-06,FR_JUNE_2025.pdf
1335,6L ACCESS CONTROLLED GREENFIELD HIGHWAY OF JULEKAL VILLAGE TO DINNEDEVARAPADU VILLAGE FROM KM 242.20,NHAI,N24001625,,,,1-2022,1/2025,N.A.,1227.57,N.A.,288.58,45.65,2025-06,FR_JUNE_2025.pdf
1336,6L ACCESS CONTROLLED GREENFIELD HIGHWAY OF NANDINNE VILLAGE TO JULEKAL VILLAGE FROM KM 202.900 TO KM,NHAI,N24001626,,,,2-2022,1/2025,N.A.,972.06,N.A.,408.48,70.26,2025-06,FR_JUNE_2025.pdf
1337,WIDENING AND STRENGTHENING OF EXISTING 2 LANE WITH PAVED SHOULDER TO 4 LANE WITH PAVED SHOULDER FRO,MoRTH,N24002000,,,,3-2021,7/2024,N.A.,317.19,N.A.,178.64,72.00,2025-06,FR_JUNE_2025.pdf
1338,WIDENING TO 2 LANE WITH PAVED SHOULDERS OF MEDAK - SIDDIPET SECTION FROM KM 0/0 TO KM 69/978 OF NH-,MoRTH,N24002001,,,,1-2022,1/2025,N.A.,882.18,N.A.,376.66,73.14,2025-06,FR_JUNE_2025.pdf
1339,WIDENING AND IMPROVEMENT OF EXISTING CARRIAGE WAY TO 2 LANE WITH PAVED SHOULDERS FROM KM. 86/160 TO,MoRTH,N24002002,,,,1-2022,12/2024,N.A.,423.48,N.A.,166.39,71.65,2025-06,FR_JUNE_2025.pdf
1340,REHABILITATION AND UP-GRADATION OF VALIGONDA TO THORRUR SECTION TO TWO LANE WITH PAVED SHOULDERS FRO,MoRTH,N24002003,,,,1-2022,12/2024,N.A.,549.28,N.A.,257.89,74.75,2025-06,FR_JUNE_2025.pdf
1341,REHABILITATION AND UPGRADATION OF LB-NAGAR TO MALKAPUR SECTION TO 6-LANE MAIN CARRIAGEWAY WITH SERVI,MoRTH,N24002004,,,,3-2021,7/2024,N.A.,545.11,N.A.,198.03,76.64,2025-06,FR_JUNE_2025.pdf
1342,WIDENING TO TWO LANE WITH PAVED SHOULDERS OF 'BODHAN BASAR BHAINSA ' SECTION FROM KM 38/900 TO 95/3,MoRTH,N24002005,,,,3-2022,3/2025,N.A.,644.45,N.A.,221.65,93.60,2025-06,FR_JUNE_2025.pdf
1343,"ONSTRUCTION OF 4-LANE FLYOVER AT AMBERPET-X ROAD, HYDERABAD ON NH-202 IN THE STATE OF TELANGANA",MoRTH,N24002006,,,,10-2017,6/2023,N.A.,186.71,N.A.,149.64,92.10,2025-06,FR_JUNE_2025.pdf
1344,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 0/000 TO KM 79/300 OF KALWAKURTHY - KOLLAPUR SECTI,MoRTH,N24002007,,,,3-2022,7/2025,N.A.,886.69,N.A.,252.22,67.94,2025-06,FR_JUNE_2025.pdf
1345,WIDENING TO 2 LANE WITH PAVED SHOULDERS OF SIDDIPET- ELKATHURTHY SECTION FROM KM 69/978 TO KM 133/6,MoRTH,N24002008,,,,1-2022,12/2024,N.A.,578.85,N.A.,292.69,82.05,2025-06,FR_JUNE_2025.pdf
1346,WIDENING AND STRENGTHENING TO 2/4 LANE WITH PAVED SHOULDERS OF MAHABUBNAGAR ? CHINCHOLI SECTION FROM,MoRTH,N24002009,,,,1-2022,1/2025,N.A.,703.68,N.A.,210.72,76.45,2025-06,FR_JUNE_2025.pdf
1347,WIDENING AND STRENGTHENING TO 4 LANE / 2-LANE WITH PAVED SHOULDERS OF MAHABUBNAGAR- CHINCHOLI SECTION,MoRTH,N24002010,,,,3-2022,3/2024,N.A.,631.49,N.A.,75.33,28.98,2025-06,FR_JUNE_2025.pdf
1348,IMPROVEMENT OF GEOMETRICS OF THONDUPALLY TO KOTHUR FROM KM 22.300 TO KM 34.14 OF NH-44-RCW,NHAI,N24002082,,,,2-2022,9/2024,N.A.,541.58,N.A.,34.98,,2025-06,FR_JUNE_2025.pdf
1349,FOUR LANING OF KARIMNAGAR- WARANGAL SECTION OF NH-563 FROM DESIGN CH.48.860 KM NEAR SH-1 CH.170.400 K,NHAI,N24002083,,,,3-2022,7/2025,N.A.,2146.86,2413.00,999.54,72.35,2025-06,FR_JUNE_2025.pdf
1350,CONSTRUCTION OF 4-LANE ACCESS CONTROLLED GREENFIELD HIGHWAY SECTION ON NH-163G (KHAMMAM- VIJAYAWADA),NHAI,N24002190,,,,3-2023,8/2026,N.A.,983.00,N.A.,0.00,8.50,2025-06,FR_JUNE_2025.pdf
1351,CONSTRUCTION OF 4-LANE ACCESS CONTROLLED GREENFIELD HIGHWAY SECTION ON NH-163G (KHAMMAM - VIJAYAWADA,NHAI,N24002236,,,,3-2023,3/2025,N.A.,832.62,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
1352,REHABILITATION AND UPGRADATION OF NH -565 FROM KM 1.00 TO 86.057 (NAKREKAL TO NAGARJUNSAGAR DAM SECT,MoRTH,N24000245,,,,1-2014,3/2016,Sep-2019,270.00,N.A.,0.00,72.15,2025-06,FR_JUNE_2025.pdf
1353,REHABILITATION AND UPGRADATION OF NH-221 FROM KM 121/0 TO 165/00 (OF VIJAYAWADA-JAGDALPUR RUDRAMPUR,MoRTH,N24000247,,,,10-2014,2/2017,N.A.,295.47,N.A.,224.42,82.76,2025-06,FR_JUNE_2025.pdf
1354,EPC- CORRIDOR APPROACH WORKS - NH (O): WIDENING EXISTING 2 LANE TO 2 LANE WITH PAVED SHOULDERS IN KM,MoRTH,N24000248,,,,3-2015,1/2017,N.A.,153.21,N.A.,100.96,93.20,2025-06,FR_JUNE_2025.pdf
1355,WIDEINING TO TWO/FOUR LANE WITH PAVED SHOULDERS FROM EXISTING KM 182.120 TO KM 227.600 OF NH-167 ON,MoRTH,N24000980,,,,10-2016,2/2019,N.A.,298.32,N.A.,178.47,,2025-06,FR_JUNE_2025.pdf
1356,WIDEINING TO TWO/FOUR LANE WITH PAVED SHOULDERS FROM EXISTING KM 180.60 TO KM 223.00 OF NH-63 ON NIZ,MoRTH,N24000981,,,,10-2016,3/2019,N.A.,248.83,N.A.,173.79,,2025-06,FR_JUNE_2025.pdf
1357,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 40/410 TO KM 84/037OF THIRUMALAGIRI TO SURYAPET SE,MoRTH,N24000982,,,,1-2017,5/2019,N.A.,244.54,N.A.,174.35,99.96,2025-06,FR_JUNE_2025.pdf
1358,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 0/970 TO KM 40/410 OF JANAGAON-THIRUMALAGIRI OF NH,MoRTH,N24000983,,,,1-2017,10/2019,N.A.,196.52,N.A.,125.53,92.74,2025-06,FR_JUNE_2025.pdf
1359,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 15.525 TO KM 62.880 OF JADCHERLA-KALWAKURTHY SECTI,MoRTH,N24000984,,,,1-2017,12/2019,N.A.,283.00,N.A.,259.15,99.32,2025-06,FR_JUNE_2025.pdf
1360,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 67.00 TO 114.425 OF KALWAKURTHY- MALLEPALLY SECTION,MoRTH,N24000986,,,,1-2017,5/2019,N.A.,300.00,N.A.,239.93,99.09,2025-06,FR_JUNE_2025.pdf
1361,6 LANING FROM KM 9.90 TO KM 19.948 (ARAMGARH-SAMSHABAD SECTION) OF HYDERABAD-SAMSHABAD SECTION OF NH,MoRTH,N24000987,,,,1-2018,5/2020,N.A.,283.15,N.A.,270.01,92.62,2025-06,FR_JUNE_2025.pdf
1362,WIDENING AND STRENGTHENING OF EXISTING 2-LANE TO 2-LANE WITH PAVED SHOULDERS FROM KM.159/0 TO 165/4,MoRTH,N24000988,,,,1-2018,12/2019,N.A.,230.03,N.A.,231.31,100.00,2025-06,FR_JUNE_2025.pdf
1363,WIDENING AND STRENGTHENING OF EXISTING CARRIAGEWAY IN 2 LANE WITH PAVED SHOULDERS FROM KM.25/0 TO 59,MoRTH,N24000989,,,,2-2018,6/2020,N.A.,206.13,N.A.,190.94,98.56,2025-06,FR_JUNE_2025.pdf
1364,REHABILITATION AND UPGRADATION OF NH-167 FROM DESIGN KM.113.900 TO 154.479 (MALLEPALLY - HALIYA SECT,MoRTH,N24000990,,,,2-2018,11/2019,N.A.,294.13,N.A.,198.75,90.10,2025-06,FR_JUNE_2025.pdf
1365,REHABILITATION AND UPGRADATION OF NH-167 FROM DESIGN KM.187.723 TO 234.434 (MIRYALAGUDA TO KODAD SEC,MoRTH,N24000993,,,,3-2018,9/2020,N.A.,322.81,N.A.,315.23,98.14,2025-06,FR_JUNE_2025.pdf
1366,CONSTRUCTION OF SIX LANE ELEVATED CORRIDOR FROM KM.7.950 (UPPAL) TO KM.14.200 OF NH-163 TO DE-CONGES,MoRTH,N24000994,,,,3-2018,7/2020,N.A.,626.76,N.A.,272.64,46.00,2025-06,FR_JUNE_2025.pdf
1367,REHABILITATION AND UP-GRADATION TO TWO LANE WITH PAVED SHOULDERS FROM KM 0/0 TO 72/6 OF NH-365 (NAKR,MoRTH,N24000996,,,,1-2017,10/2019,N.A.,605.08,N.A.,413.37,99.90,2025-06,FR_JUNE_2025.pdf
1368,REHABILITATION AND UP GRADATION FROM KM. 121/0 TO 154/0 OF NAKAREKAL ? MALLAMPALLY SECTION OF NH-365,MoRTH,N24000997,,,,3-2018,7/2019,N.A.,192.67,N.A.,176.37,96.00,2025-06,FR_JUNE_2025.pdf
1369,WIDENING AND STRENGTHENING/ RECONSTRUCTION OF EXISTING PAVEMENT TO FOUR ALNE WITH PAVED SHOULDERS FR,MoRTH,N24000998,,,,1-2019,N.A.,,193.19,N.A.,222.58,100.00,2025-06,FR_JUNE_2025.pdf
1370,"GRASS ROOT RAIL FED DEPOT AT SEKERKOTE, AGARTALA AS RESITEMENT OF EXISTING DHARMANAGAR DEPOT",IOCL,N16000495,,,,6-2022,8/2025,Sep-2025,656.00,N.A.,427.77,83.17,2025-06,FR_JUNE_2025.pdf
1371,2 LANING FROM MANU-SIMLUNG PKG-2,NHIDCL,N24001542,,,,2-2022,1/2025,May-2025,456.88,N.A.,122.67,50.18,2025-06,FR_JUNE_2025.pdf
1372,IMPROVEMENT AND WIDENING TO 2- LANE WITH EARTHEN PAVED SHOULDER FROM UDAIPUR TO SRIMANTAPUR,NHIDCL,N24001914,,,,5-2023,11/2024,N.A.,195.95,N.A.,46.46,45.42,2025-06,FR_JUNE_2025.pdf
1373,4 LANE WITH PAVED SHOULDER AGARTALA BYPASS (WESTERN SIDE) CONNECTING NH-8,NHIDCL,N24002132,,,,3-2023,3/2027,N.A.,2026.05,N.A.,26.34,8.82,2025-06,FR_JUNE_2025.pdf
1374,REHABILITATION AND UP-GRADATION OF ROAD FROM DESIGN KM 25.250 TO KM 36.460 (TOTAL LENGH: 11.210 KM),NHIDCL,N24002159,,,,2-2020,3/2026,N.A.,174.43,N.A.,9.54,16.61,2025-06,FR_JUNE_2025.pdf
1375,IMPROVEMENT AND WIDENING TO 2- LANE WITH PAVED SHOULDER OF ROAD FROM KM 101.300 TO KM 127.319 (TOTAL,NHIDCL,N24002160,,,,1-2024,7/2026,N.A.,431.78,N.A.,52.82,34.61,2025-06,FR_JUNE_2025.pdf
1376,KHOWAI ?TELIAMURA-AMARPUR- HARINA-SABROOM PACKAGE-2,NHIDCL,N24002161,,,,1-2024,9/2026,N.A.,657.21,N.A.,95.71,32.85,2025-06,FR_JUNE_2025.pdf
1377,KHOWAI ?TELIAMURA-AMARPUR- HARINA-SABROOM PACKAGE-3,NHIDCL,N24002162,,,,1-2024,9/2026,N.A.,670.90,N.A.,3.81,3.05,2025-06,FR_JUNE_2025.pdf
1378,CHAMPAK NAGAR TO KHAYERPUR SECTION (DESIGN KM 242+500 TO KM 261+610),NHIDCL,N24002205,,,,12-2023,9/2026,N.A.,920.66,N.A.,81.54,24.56,2025-06,FR_JUNE_2025.pdf
1379,KHOWAI ?TELIAMURA-AMARPUR- HARINA-SABROOM SECTION PKG-4,NHIDCL,N24002228,,,,1-2024,12/2026,N.A.,726.90,N.A.,7.36,3.85,2025-06,FR_JUNE_2025.pdf
1380,REHABILITATION AND UPGRADATION OF ROAD FROM KM 0.00 TO KM 18.600 OF KUMARGHAT-KAILASHAHAR SECTION,NHIDCL,N24001263,,,,6-2020,1/2022,Feb-2024,277.50,302.02,262.91,99.94,2025-06,FR_JUNE_2025.pdf
1381,KAILASHAHAR TO KHOWAI PKG-4,NHIDCL,N24001309,,,,11-2020,6/2022,Oct-2023,159.13,171.50,84.33,100.00,2025-06,FR_JUNE_2025.pdf
1382,2-LANING FROM JOLAIBARI - BELONIA,NHIDCL,N24001317,,,,6-2020,1/2022,N.A.,201.99,N.A.,148.22,100.00,2025-06,FR_JUNE_2025.pdf
1383,MANU-SIMLUNG ( PKG 4),NHIDCL,N24001363,,,,3-2021,12/2022,N.A.,354.79,N.A.,34.08,,2025-06,FR_JUNE_2025.pdf
1384,"CCS INTERNATIONAL AIRPORT , LUCKNOW",AAI,N04000077,,,,6-2018,9/2021,Oct-2026,1383.00,1938.00,2652.63,80.58,2025-06,FR_JUNE_2025.pdf
1385,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,AAI,N04000094,,,,3-2021,12/2022,Jul-2025,242.14,328.00,344.58,99.90,2025-06,FR_JUNE_2025.pdf
1386,"PRAYAGRAJ AIRPORT - CONSTRUCTION OF NEW TERMINAL BUILDING, SECOND LINK TAXI TRACK, APRON EXPANSION,",AAI,N04000102,,,,5-2023,11/2024,Jul-2025,185.75,274.38,206.39,97.25,2025-06,FR_JUNE_2025.pdf
1387,AGRA: DEVELOPMENT OF NEW CIVIL ENCLAVE AT AGRA AIRPORT.,AAI,N04000113,,,,6-2024,7/2026,N.A.,579.00,N.A.,72.23,13.00,2025-06,FR_JUNE_2025.pdf
1388,"VARANASI: DEVELOPMENT OF LAL BAHADUR SHASTRI INTERNATIONAL AIRPORT, VARANASI.",AAI,N04000114,,,,7-2024,7/2027,N.A.,2869.65,N.A.,283.00,14.51,2025-06,FR_JUNE_2025.pdf
1389,NEYVELI UTTAR PRADESH POWER PROJECT LIMITED 1980 MW,NLC,N06000152,,,,7-2016,11/2021,Oct-2025,17237.00,21780.94,19949.00,91.39,2025-06,FR_JUNE_2025.pdf
1390,KHADIA EXPANSION OCP,NCL,N06000208,,,,6-2021,3/2025,N.A.,491.67,N.A.,202.24,40.86,2025-06,FR_JUNE_2025.pdf
1391,60 KTA POLYPROPYLENE PROJECT,GAIL,N16000429,,,,3-2019,4/2024,Apr-2024,910.56,1299.02,974.00,96.90,2025-06,FR_JUNE_2025.pdf
1392,AUGMENTATION OF FACILITIES AT MATHURA BITUMEN PLANT,IOCL,N16000505,,,,4-2022,4/2025,Dec-2026,260.12,N.A.,1.07,25.00,2025-06,FR_JUNE_2025.pdf
1393,GRASS-ROOT TERMINAL AT MIRZAPUR UTTAR PRADESH,IOCL,N16000506,,,,9-2022,6/2026,N.A.,980.45,N.A.,206.85,50.75,2025-06,FR_JUNE_2025.pdf
1394,"CITY GAS DISTRIBUTION PROJECTS AT LAKHIMPUR KHERI , SITAPUR, BAHRAICH, SHRAVASTI,BALRAMPUR,",BPCL,N16000525,,,,12-2022,6/2030,N.A.,16654.00,N.A.,550.36,9.70,2025-06,FR_JUNE_2025.pdf
1395,KHURJA SUPER THERMAL POWER PROJECT,THDCIL,N18000272,,,,3-2019,9/2023,N.A.,11089.42,13276.16,12580.53,96.00,2025-06,FR_JUNE_2025.pdf
1396,"SINGRAULI SUPER THERMAL POWER PROJECT, STAGE-III (2X800 MW)",NTPC,N18000382,,,,3-2024,2/2030,N.A.,17195.31,N.A.,1569.79,0.50,2025-06,FR_JUNE_2025.pdf
1397,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-4: 3.5 GW): PART A,PGCIL,N18000407,,,,12-2024,12/2026,N.A.,5846.00,N.A.,198.76,2.10,2025-06,FR_JUNE_2025.pdf
1398,TRANSMISSION SYSTEM FOR STRENGTHENING TO FACILITATE EVACUATION OF POWER FROM BHADLA/BIKANER COMPLEX,PGCIL,N18000423,,,,12-2024,6/2026,N.A.,213.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
1399,BURHWAL - GONDA - 3RD RUNNING LINE.,NER,N22000468,,,,4-2016,3/2025,N.A.,1015.59,N.A.,1277.57,52.00,2025-06,FR_JUNE_2025.pdf
1400,"SHAHGANJ-BHATNI-PHEPHNA-INDARA, MAU-SHAHGANJ (EXCL. MAU-INDARA) PATCH DOUBLING.",NER,N22000470,,,,4-2016,12/2024,N.A.,1177.96,N.A.,2050.16,85.00,2025-06,FR_JUNE_2025.pdf
1401,JHANSI MANIKPUR AND KHAIRAR BHIMSEN DOUBLING,NCR,N22000495,,,,3-2018,3/2026,N.A.,4329.53,N.A.,2125.66,50.00,2025-06,FR_JUNE_2025.pdf
1402,JHANSI BINA DOUBLING,NCR,N22000496,,,,9-2016,3/2022,N.A.,2002.00,N.A.,1745.48,90.00,2025-06,FR_JUNE_2025.pdf
1403,MATHURA-JHANSI-3RD LINE (273.80 KM),RVNL,N22000501,,,,6-2016,12/2024,N.A.,5323.39,N.A.,5046.07,,2025-06,FR_JUNE_2025.pdf
1404,SURFACE TRIANGLE LINE BETWEEN BHADURA STATION AND NEW CROSSING STN KARMA DOUBLING,ECR,N22000525,,,,10-2022,10/2027,N.A.,199.96,N.A.,55.09,,2025-06,FR_JUNE_2025.pdf
1405,MUGHALSARAI - ALLAHABAD - 3RD LINE,NCR,N22000544,,,,8-2019,12/2026,N.A.,2649.44,N.A.,83.10,55.00,2025-06,FR_JUNE_2025.pdf
1406,ALIGARH-HARDUAGANJ FLYOVER (22 KM),NCR,N22000545,,,,4-2020,6/2026,N.A.,1456.89,1244.13,10.14,8.20,2025-06,FR_JUNE_2025.pdf
1407,LALITPUR - BIRARI WITH FLYOVER AT LALITPUR,NCR,N22000546,,,,3-2017,12/2024,N.A.,356.09,N.A.,213.97,65.00,2025-06,FR_JUNE_2025.pdf
1408,ALIGARH-DAUD KHAN - 3RD LINE 6.9 KM AND CONSTRUCTION OF FLYOVER AT DAUD KHAN,NCR,N22000562,,,,4-2019,12/2025,N.A.,451.99,779.49,122.08,44.00,2025-06,FR_JUNE_2025.pdf
1409,ALLAHABAD-BAMHRAULI - 4TH LINE (10 KM) WITH FLY-OVER AT SUBEDARGANJ,NCR,N22000563,,,,4-2019,3/2026,N.A.,494.11,N.A.,42.61,42.00,2025-06,FR_JUNE_2025.pdf
1410,BHANDAI - FLYOVER FOR ETAWAH BOUND DOWN TRAINS,NCR,N22000564,,,,4-2019,12/2025,N.A.,187.21,N.A.,1.29,8.00,2025-06,FR_JUNE_2025.pdf
1411,SAHJANWA - DOHRIGHAT,NER,N22000565,,,,8-2019,3/2029,N.A.,371.77,N.A.,577.85,5.00,2025-06,FR_JUNE_2025.pdf
1412,BAHRAICH - NANPARA -NEPALGANJ (56.15 KM),NER,N22000566,,,,7-2020,12/2024,N.A.,950.00,N.A.,424.74,25.00,2025-06,FR_JUNE_2025.pdf
1413,BAHRAICH SRAVASTI BALRAMPUR (TULSIPUR),NER,N22000569,,,,10-2018,10/2030,N.A.,4939.78,N.A.,1334.98,7.50,2025-06,FR_JUNE_2025.pdf
1414,JANGHAI PRATAPGARH AMETHI DOUBLING,NR,N22000583,,,,11-2017,3/2025,N.A.,721.72,N.A.,58.98,70.00,2025-06,FR_JUNE_2025.pdf
1415,BARABANKI MALHAUR 3RD AND 4TH LINE (32.84 KM),NR,N22000590,,,,1-2019,3/2025,Jan-2026,323.85,N.A.,18.91,59.00,2025-06,FR_JUNE_2025.pdf
1416,DOUBLING BETWEEN JAUNPUR JN- ZAFFARABAD (6.28 KM),NR,N22000591,,,,3-2023,12/2026,N.A.,177.33,N.A.,0.89,10.00,2025-06,FR_JUNE_2025.pdf
1417,JANGHAI-PHAPHAMAU - DOUBLING WITH ELECTRIFICATION (46.79 KM),RVNL,N22000596,,,,11-2018,3/2025,N.A.,357.48,N.A.,362.09,,2025-06,FR_JUNE_2025.pdf
1418,BHATNI - AUNRIHAR WITH ELECTRIFICATION (125 KM) (EXCL INDARA - MAU (116.95 KM)),RVNL,N22000598,,,,5-2018,12/2024,N.A.,2529.46,N.A.,1636.33,,2025-06,FR_JUNE_2025.pdf
1419,MATHURA - VRINDAVAN (11 KM),NCR,N22000612,,,,8-2022,6/2025,N.A.,402.88,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
1420,DOMINGARH - GORAKHPUR - GORAKHPUR CANTT - KUSUMHI - 3RD RUNNING LINE (21.15 KM),NER,N22000613,,,,11-2016,2/2025,N.A.,351.03,N.A.,494.01,86.50,2025-06,FR_JUNE_2025.pdf
1421,CONSTRUCTION OF 6 LANE BRIDGE ON GANGA ON NH-96 AND ITS APPROACHES IN PHAPHAMAU ALLAHABAD ON EPC MOD,MoRTH,N24001421,,,,7-2018,2/2024,N.A.,1948.25,N.A.,1146.61,79.00,2025-06,FR_JUNE_2025.pdf
1422,CONSTRUCTION OF FOUR-LANE ELEVATED VIADUCT FROM KM.4+634 TO KM.6+345 ON NH-24A INCLUDING RETAINING W,MoRTH,N24001424,,,,3-2021,9/2023,N.A.,185.09,269.81,266.35,100.00,2025-06,FR_JUNE_2025.pdf
1423,REHABILITATION AND UPGRADATION TO 2 LANE WITH PS OF RADHAITA TO PILIBHIT SECTION OF 46.130 KM,MoRTH,N24001456,,,,4-2020,2/2024,N.A.,199.39,212.96,200.01,100.00,2025-06,FR_JUNE_2025.pdf
1424,REHABILITATION AND UPGRADATION TO 2 LANE WITH PS OF MIRANPUR KATRA TO RADHAITA SECTION OF NH- 730C F,MoRTH,N24001457,,,,4-2020,7/2024,N.A.,172.50,169.56,106.06,76.00,2025-06,FR_JUNE_2025.pdf
1425,2-LANE WITH PS OF BEWAR TO NEAR KARRI VILLAGE SECTION OF NH-92 FROM KM.0.00 TO 30.00 UNDER GNHCP,MoRTH,N24001461,,,,4-2020,3/2024,N.A.,236.47,N.A.,145.95,88.00,2025-06,FR_JUNE_2025.pdf
1426,2-LANE WITH PS OF NEAR KARRI VILLAGE TO ETAWAH SECTION OF NH- 92 FROM KM.30.000 TO 57.346 UNDER GNHCP,MoRTH,N24001462,,,,4-2020,7/2024,N.A.,211.09,N.A.,147.58,96.00,2025-06,FR_JUNE_2025.pdf
1427,PROJECTS- REHABILITATION AND UPGRADATION OF NH-731A FROM KM 0.00 TO KM.35.00,MoRTH,N24001464,,,,3-2021,8/2023,N.A.,264.86,N.A.,129.12,84.00,2025-06,FR_JUNE_2025.pdf
1428,IMPROVEMENT AND UPGRADATION TO TWO LANE WITH PAVED SHOULDER CONFIGURATION FROM EXISTING KM 55.00 TO,MoRTH,N24001469,,,,11-2021,5/2024,N.A.,307.11,N.A.,199.38,91.00,2025-06,FR_JUNE_2025.pdf
1429,R/U TO 2-LANE WITH PS OF BEWAR TO ALLAHGANJ SECTION OF NH-730C FROM KM.0.00 TO 52.770 UNDER GNHCP,MoRTH,N24001471,,,,4-2020,11/2024,N.A.,325.24,340.16,284.35,98.00,2025-06,FR_JUNE_2025.pdf
1430,WIDENING AND UPGRADATION TO FOUR LANE CONFIGURATION FROM KM.34.900 (BHADOHI) TO KM.73.134 (JAUNPUR),MoRTH,N24001479,,,,3-2021,5/2024,N.A.,395.62,392.03,281.93,76.00,2025-06,FR_JUNE_2025.pdf
1431,WIDENING AND STRENGTHENING FROM KM 0.00 TO KM 15.089 OF NH- 334A (PURKAJI-LAKSAR-HARIDWAR ROAD) TO TW,MoRTH,N24001480,,,,10-2021,4/2024,N.A.,227.06,N.A.,141.89,100.00,2025-06,FR_JUNE_2025.pdf
